sentence_id,volume,group_start,seg_idx,src_file,t_start,t_end,duration,media_file,source
101,1,101,0,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,6.966,8.360,1.394,media/ZS_F1_0101.mp3,F1-GMS-0101C 00:06.97-00:08.36
102,1,101,1,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,11.210,13.094,1.884,media/ZS_F1_0102.mp3,F1-GMS-0101C 00:11.21-00:13.09
103,1,101,2,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,15.859,16.950,1.091,media/ZS_F1_0103.mp3,F1-GMS-0101C 00:15.86-00:16.95
104,1,101,3,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,19.649,20.667,1.017,media/ZS_F1_0104.mp3,F1-GMS-0101C 00:19.65-00:20.67
105,1,101,4,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,23.398,24.400,1.002,media/ZS_F1_0105.mp3,F1-GMS-0101C 00:23.40-00:24.40
106,1,101,5,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,27.065,28.605,1.540,media/ZS_F1_0106.mp3,F1-GMS-0101C 00:27.07-00:28.60
107,1,101,6,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,31.318,32.287,0.969,media/ZS_F1_0107.mp3,F1-GMS-0101C 00:31.32-00:32.29
108,1,101,7,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,35.131,36.555,1.424,media/ZS_F1_0108.mp3,F1-GMS-0101C 00:35.13-00:36.55
109,1,101,8,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,39.320,40.726,1.406,media/ZS_F1_0109.mp3,F1-GMS-0101C 00:39.32-00:40.73
110,1,101,9,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,43.612,45.151,1.539,media/ZS_F1_0110.mp3,F1-GMS-0101C 00:43.61-00:45.15
111,1,101,10,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,47.992,49.846,1.855,media/ZS_F1_0111.mp3,F1-GMS-0101C 00:47.99-00:49.85
112,1,101,11,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,52.733,54.377,1.644,media/ZS_F1_0112.mp3,F1-GMS-0101C 00:52.73-00:54.38
113,1,101,12,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,57.167,59.036,1.869,media/ZS_F1_0113.mp3,F1-GMS-0101C 00:57.17-00:59.04
114,1,101,13,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,61.680,63.185,1.505,media/ZS_F1_0114.mp3,F1-GMS-0101C 01:01.68-01:03.18
115,1,101,14,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,65.851,67.814,1.963,media/ZS_F1_0115.mp3,F1-GMS-0101C 01:05.85-01:07.81
116,1,101,15,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,70.505,72.262,1.757,media/ZS_F1_0116.mp3,F1-GMS-0101C 01:10.51-01:12.26
117,1,101,16,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,75.054,76.889,1.835,media/ZS_F1_0117.mp3,F1-GMS-0101C 01:15.05-01:16.89
118,1,101,17,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,79.818,81.197,1.379,media/ZS_F1_0118.mp3,F1-GMS-0101C 01:19.82-01:21.20
119,1,101,18,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,83.992,85.849,1.857,media/ZS_F1_0119.mp3,F1-GMS-0101C 01:23.99-01:25.85
120,1,101,19,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,88.776,89.792,1.015,media/ZS_F1_0120.mp3,F1-GMS-0101C 01:28.78-01:29.79
121,1,101,20,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,92.657,94.120,1.464,media/ZS_F1_0121.mp3,F1-GMS-0101C 01:32.66-01:34.12
122,1,101,21,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,97.067,98.536,1.469,media/ZS_F1_0122.mp3,F1-GMS-0101C 01:37.07-01:38.54
123,1,101,22,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,101.479,103.044,1.565,media/ZS_F1_0123.mp3,F1-GMS-0101C 01:41.48-01:43.04
124,1,101,23,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,105.772,108.238,2.466,media/ZS_F1_0124.mp3,F1-GMS-0101C 01:45.77-01:48.24
125,1,101,24,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,111.229,112.861,1.631,media/ZS_F1_0125.mp3,F1-GMS-0101C 01:51.23-01:52.86
126,1,101,25,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,115.579,117.216,1.637,media/ZS_F1_0126.mp3,F1-GMS-0101C 01:55.58-01:57.22
127,1,101,26,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,120.333,121.973,1.640,media/ZS_F1_0127.mp3,F1-GMS-0101C 02:00.33-02:01.97
128,1,101,27,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,124.753,126.956,2.203,media/ZS_F1_0128.mp3,F1-GMS-0101C 02:04.75-02:06.96
129,1,101,28,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,129.797,131.884,2.087,media/ZS_F1_0129.mp3,F1-GMS-0101C 02:09.80-02:11.88
130,1,101,29,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,134.667,136.001,1.334,media/ZS_F1_0130.mp3,F1-GMS-0101C 02:14.67-02:16.00
131,1,101,30,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,138.566,140.757,2.191,media/ZS_F1_0131.mp3,F1-GMS-0101C 02:18.57-02:20.76
132,1,101,31,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,143.486,144.771,1.285,media/ZS_F1_0132.mp3,F1-GMS-0101C 02:23.49-02:24.77
133,1,101,32,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,147.622,149.058,1.435,media/ZS_F1_0133.mp3,F1-GMS-0101C 02:27.62-02:29.06
134,1,101,33,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,151.564,152.727,1.163,media/ZS_F1_0134.mp3,F1-GMS-0101C 02:31.56-02:32.73
135,1,101,34,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,155.304,157.016,1.712,media/ZS_F1_0135.mp3,F1-GMS-0101C 02:35.30-02:37.02
136,1,101,35,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,159.491,161.137,1.646,media/ZS_F1_0136.mp3,F1-GMS-0101C 02:39.49-02:41.14
137,1,101,36,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,163.710,164.813,1.103,media/ZS_F1_0137.mp3,F1-GMS-0101C 02:43.71-02:44.81
138,1,101,37,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,167.138,168.678,1.540,media/ZS_F1_0138.mp3,F1-GMS-0101C 02:47.14-02:48.68
139,1,101,38,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,171.047,172.276,1.229,media/ZS_F1_0139.mp3,F1-GMS-0101C 02:51.05-02:52.28
140,1,101,39,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,174.834,176.239,1.406,media/ZS_F1_0140.mp3,F1-GMS-0101C 02:54.83-02:56.24
141,1,101,40,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,178.779,179.990,1.211,media/ZS_F1_0141.mp3,F1-GMS-0101C 02:58.78-02:59.99
142,1,101,41,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,182.331,183.983,1.652,media/ZS_F1_0142.mp3,F1-GMS-0101C 03:02.33-03:03.98
143,1,101,42,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,186.934,188.792,1.858,media/ZS_F1_0143.mp3,F1-GMS-0101C 03:06.93-03:08.79
